标题,播放数,链接
『国摇』一百支乐队一百种精神信仰,613万,https://music.163.com/playlist?id=2179431622
安然面对孤独，不畏惧孤独感,545万,https://music.163.com/playlist?id=2360129270
给你一张2008年的CD。,843万,https://music.163.com/playlist?id=2352800595
100句情话我只唱给你听,589万,https://music.163.com/playlist?id=2339316534
把思恋化为等待，借歌名孤独自白,555万,https://music.163.com/playlist?id=2341435171
这世界上情歌那么多，却没有一首属于我,856万,https://music.163.com/playlist?id=2335662972
有故事的男生，唱着有故事的歌,535万,https://music.163.com/playlist?id=2333142183
“我爱你”的100种表达方式,674万,https://music.163.com/playlist?id=2314313405
这些歌名连起来，是我暗恋你多年的秘密,1180万,https://music.163.com/playlist?id=2301753292
听了几个故事，正好讲给你玩,526万,https://music.163.com/playlist?id=2298138241
《中国新说唱》入围选手作品合集,599万,https://music.163.com/playlist?id=2291115145
三字华语 | 道不清的简单排列，字字扎心,616万,https://music.163.com/playlist?id=2287425319
我不丧，只是在心情差时碰巧多听了几首歌,598万,https://music.163.com/playlist?id=2252736518
提及年少一词，应与平庸相斥,543万,https://music.163.com/playlist?id=2255796408
『华语女声』糟糕！是心动的感觉,1298万,https://music.163.com/playlist?id=2259687728
有意思！这些歌的歌名居然对着唱反调,724万,https://music.163.com/playlist?id=2246886256
励志摇滚 · 人生本是永无止境的攀登,605万,https://music.163.com/playlist?id=2246462833
【经典】聼一首老歌，想念一段时光,971万,https://music.163.com/playlist?id=2236351380
予你情诗百首，余生你是我的所有,1380万,https://music.163.com/playlist?id=2230318386
耳朵喜欢你 好听到可以单曲循环,2620万,https://music.163.com/playlist?id=2232237850
你离开以后，我将自己活成了你的样子,608万,https://music.163.com/playlist?id=2205731441
你的青春里有没有属于你的一首歌？,3246万,https://music.163.com/playlist?id=2201879658
点起一支烟，听一首粤语歌,959万,https://music.163.com/playlist?id=2197936899
细数那些值得单曲循环的英文歌,710万,https://music.163.com/playlist?id=2193563343
100个悲伤的瞬间，有没有你的心酸？,1397万,https://music.163.com/playlist?id=2179646633
后来的我们 唱着《后来》消失在人海,595万,https://music.163.com/playlist?id=2181695887
致回不去的校园，致那美好的曾经,932万,https://music.163.com/playlist?id=2182683172
论如何优雅的做个没有感情的大人,575万,https://music.163.com/playlist?id=2156205051
熬夜和想你，我都该戒掉了,1786万,https://music.163.com/playlist?id=2163517726
2018公告牌全球百大DJ/电音制作人！,894万,https://music.163.com/playlist?id=2153498917
节奏带感且深邃性感 ️️这才系Deep House呀,1208万,https://music.163.com/playlist?id=2139118830
岁月如潮水，将我向老歌推,1617万,https://music.163.com/playlist?id=2139305008
我爱你 第一句是假的 第二句也是假的,1617万,https://music.163.com/playlist?id=2144281377
歌词唱透了心声，回忆模糊了眼眸,1891万,https://music.163.com/playlist?id=2139324915
攒了一大堆好听的歌想和你一起听,904万,https://music.163.com/playlist?id=2353471182
风月无憾 | 你是我有关青春 最美的句读,544万,https://music.163.com/playlist?id=2324361508
我这么可爱 要不要试着喜欢我,651万,https://music.163.com/playlist?id=2261011675
以丧止丧 听一首把自己感动到哭的丧的歌,1116万,https://music.163.com/playlist?id=2141039987
十年林宥嘉：爱你这回事，整整十年,563万,https://music.163.com/playlist?id=2252293216
不好意思，我又想骗你们谈恋爱了,710万,https://music.163.com/playlist?id=2188765627
我最大的遗憾，是你的遗憾与我有关,995万,https://music.163.com/playlist?id=2201957752
海盐风味｜浪漫迷幻°新鲜度100%,513万,https://music.163.com/playlist?id=2333731148
反思一下你做了什么，让我这么喜欢你,517万,https://music.163.com/playlist?id=2239128746
曾经喜欢你，卑微到尘埃里,727万,https://music.163.com/playlist?id=2260046314
同桌的你，曾是我期待上课的理由,715万,https://music.163.com/playlist?id=2253353419
『高考过后怎么嗨』答案就在这里,592万,https://music.163.com/playlist?id=2260474995
城市再喧闹，没你是空城,502万,https://music.163.com/playlist?id=2246298053
后来你哭了，想安慰却忘了早已换了身份,1273万,https://music.163.com/playlist?id=2218171336
这么热的天 当然要勤洗头啦,1006万,https://music.163.com/playlist?id=2258899307
欧美对唱｜用最浪漫的副歌 你也轻轻的附和,527万,https://music.163.com/playlist?id=2333641827
还记得你的梦想吗？别让你的梦只有想,898万,https://music.163.com/playlist?id=2219770152
华语 | 我没有很想你，只是经常梦见你,681万,https://music.163.com/playlist?id=2172208421
你以为我不会走，我以为你会留,522万,https://music.163.com/playlist?id=2310048012
在这复杂的世界里，你是我唯一的甜,575万,https://music.163.com/playlist?id=2237551072
〖纯音乐〗轻旋淡律，也可以抓住你的耳朵,876万,https://music.163.com/playlist?id=2235097256
「嗨爆」在宿舍御用的蹦迪歌曲,668万,https://music.163.com/playlist?id=2145434166
求求你们了，让我睡会儿好不好,1265万,https://music.163.com/playlist?id=2131958935
2018上半年最热新歌TOP50,814万,https://music.163.com/playlist?id=2303649893
2018年五月最热新歌TOP50,1039万,https://music.163.com/playlist?id=2250118390
Marry,26
Bob,23
