标题,播放数,链接
『国摇』一百支乐队一百种精神信仰,641万,https://music.163.com/playlist?id=2179431622
给你一张2008年的CD。,856万,https://music.163.com/playlist?id=2352800595
安然面对孤独，不畏惧孤独感,565万,https://music.163.com/playlist?id=2360129270
100句情话我只唱给你听,601万,https://music.163.com/playlist?id=2339316534
把思恋化为等待，借歌名孤独自白,564万,https://music.163.com/playlist?id=2341435171
这世界上情歌那么多，却没有一首属于我,870万,https://music.163.com/playlist?id=2335662972
有故事的男生，唱着有故事的歌,545万,https://music.163.com/playlist?id=2333142183
“我爱你”的100种表达方式,677万,https://music.163.com/playlist?id=2314313405
这些歌名连起来，是我暗恋你多年的秘密,1188万,https://music.163.com/playlist?id=2301753292
听了几个故事，正好讲给你玩,530万,https://music.163.com/playlist?id=2298138241
《中国新说唱》入围选手作品合集,602万,https://music.163.com/playlist?id=2291115145
三字华语 | 道不清的简单排列，字字扎心,619万,https://music.163.com/playlist?id=2287425319
提及年少一词，应与平庸相斥,546万,https://music.163.com/playlist?id=2255796408
『华语女声』糟糕！是心动的感觉,1303万,https://music.163.com/playlist?id=2259687728
我不丧，只是在心情差时碰巧多听了几首歌,600万,https://music.163.com/playlist?id=2252736518
有意思！这些歌的歌名居然对着唱反调,725万,https://music.163.com/playlist?id=2246886256
励志摇滚 · 人生本是永无止境的攀登,606万,https://music.163.com/playlist?id=2246462833
【经典】聼一首老歌，想念一段时光,977万,https://music.163.com/playlist?id=2236351380
予你情诗百首，余生你是我的所有,1386万,https://music.163.com/playlist?id=2230318386
耳朵喜欢你 好听到可以单曲循环,2648万,https://music.163.com/playlist?id=2232237850
你的青春里有没有属于你的一首歌？,3278万,https://music.163.com/playlist?id=2201879658
点起一支烟，听一首粤语歌,967万,https://music.163.com/playlist?id=2197936899
你离开以后，我将自己活成了你的样子,610万,https://music.163.com/playlist?id=2205731441
细数那些值得单曲循环的英文歌,717万,https://music.163.com/playlist?id=2193563343
100个悲伤的瞬间，有没有你的心酸？,1405万,https://music.163.com/playlist?id=2179646633
后来的我们 唱着《后来》消失在人海,598万,https://music.163.com/playlist?id=2181695887
致回不去的校园，致那美好的曾经,936万,https://music.163.com/playlist?id=2182683172
百首日系深情，献给我曾挚爱过的你,501万,https://music.163.com/playlist?id=2166790155
熬夜和想你，我都该戒掉了,1792万,https://music.163.com/playlist?id=2163517726
论如何优雅的做个没有感情的大人,577万,https://music.163.com/playlist?id=2156205051
2018公告牌全球百大DJ/电音制作人！,899万,https://music.163.com/playlist?id=2153498917
节奏带感且深邃性感 ️️这才系Deep House呀,1213万,https://music.163.com/playlist?id=2139118830
岁月如潮水，将我向老歌推,1622万,https://music.163.com/playlist?id=2139305008
我爱你 第一句是假的 第二句也是假的,1620万,https://music.163.com/playlist?id=2144281377
歌词唱透了心声，回忆模糊了眼眸,1900万,https://music.163.com/playlist?id=2139324915
攒了一大堆好听的歌想和你一起听,941万,https://music.163.com/playlist?id=2353471182
风月无憾 | 你是我有关青春 最美的句读,545万,https://music.163.com/playlist?id=2324361508
我这么可爱 要不要试着喜欢我,652万,https://music.163.com/playlist?id=2261011675
以丧止丧 听一首把自己感动到哭的丧的歌,1122万,https://music.163.com/playlist?id=2141039987
失落少年孤独心俱乐部,589万,https://music.163.com/playlist?id=2323596120
十年林宥嘉：爱你这回事，整整十年,565万,https://music.163.com/playlist?id=2252293216
不好意思，我又想骗你们谈恋爱了,712万,https://music.163.com/playlist?id=2188765627
我最大的遗憾，是你的遗憾与我有关,997万,https://music.163.com/playlist?id=2201957752
海盐风味｜浪漫迷幻°新鲜度100%,515万,https://music.163.com/playlist?id=2333731148
反思一下你做了什么，让我这么喜欢你,518万,https://music.163.com/playlist?id=2239128746
曾经喜欢你，卑微到尘埃里,735万,https://music.163.com/playlist?id=2260046314
同桌的你，曾是我期待上课的理由,716万,https://music.163.com/playlist?id=2253353419
『高考过后怎么嗨』答案就在这里,594万,https://music.163.com/playlist?id=2260474995
城市再喧闹，没你是空城,504万,https://music.163.com/playlist?id=2246298053
后来你哭了，想安慰却忘了早已换了身份,1282万,https://music.163.com/playlist?id=2218171336
这么热的天 当然要勤洗头啦,1007万,https://music.163.com/playlist?id=2258899307
这都是什么神仙翻唱,549万,https://music.163.com/playlist?id=2392861247
欧美对唱｜用最浪漫的副歌 你也轻轻的附和,529万,https://music.163.com/playlist?id=2333641827
还记得你的梦想吗？别让你的梦只有想,901万,https://music.163.com/playlist?id=2219770152
华语 | 我没有很想你，只是经常梦见你,683万,https://music.163.com/playlist?id=2172208421
你以为我不会走，我以为你会留,523万,https://music.163.com/playlist?id=2310048012
在这复杂的世界里，你是我唯一的甜,577万,https://music.163.com/playlist?id=2237551072
〖纯音乐〗轻旋淡律，也可以抓住你的耳朵,880万,https://music.163.com/playlist?id=2235097256
【节奏控】那些一听就中毒的电音(纯音乐篇),679万,https://music.163.com/playlist?id=2120271089
「嗨爆」在宿舍御用的蹦迪歌曲,677万,https://music.163.com/playlist?id=2145434166
求求你们了，让我睡会儿好不好,1269万,https://music.163.com/playlist?id=2131958935
2018年八月最热新歌TOP50,752万,https://music.163.com/playlist?id=2398602215
2018上半年最热新歌TOP50,826万,https://music.163.com/playlist?id=2303649893
2018年五月最热新歌TOP50,1041万,https://music.163.com/playlist?id=2250118390
